scoreSup,1,2,3,4
0.0,0.0,5.0,11.0,13.0
0.374995312558593,1.0,2.0,0.0,0.0
0.4999875003124922,0.0,1.0,1.0,0.0
0.499993750078124,4.0,5.0,1.0,0.0
0.5714204082798817,0.0,2.0,0.0,0.0
0.6249921875976551,4.0,29.0,7.0,0.0
0.7142755103498521,0.0,2.0,1.0,0.0
0.7499906251171861,2.0,53.0,45.0,2.0
0.8333194446759221,0.0,2.0,0.0,0.0
0.8571306124198226,0.0,3.0,0.0,0.0
0.874989062636717,1.0,134.0,248.0,20.0
0.9999000099990001,0.0,0.0,0.0,1.0
0.9999500024998749,0.0,1.0,0.0,0.0
0.9999666677777407,0.0,0.0,0.0,2.0
0.9999750006249845,0.0,0.0,1.0,2.0
0.999980000399992,0.0,0.0,0.0,1.0
0.9999833336111065,0.0,2.0,2.0,1.0
0.999985714489793,0.0,1.0,5.0,5.0
0.999987500156248,1.0,199.0,1051.0,372.0
